filename,width,height,class,xmin,ymin,xmax,ymax
img_0.jpg,3024,3024,Misplacement,1923,1208,2310,1676
img_0.jpg,3024,3024,Out-of-stock,1013,898,1171,1188
img_1.jpg,2448,3264,Misplacement,1201,1480,1550,2031
img_10.jpg,2448,3264,Out-of-stock,1087,1087,1305,1442
img_10.jpg,2448,3264,Misplacement,405,566,608,921
img_12.jpg,2448,3264,Out-of-stock,781,1745,871,1976
img_15.jpg,2448,3264,Misplacement,1181,2212,1485,2412
img_17.jpg,1920,2560,Misplacement,410,1171,761,1341
img_18.jpg,2336,4160,Misplacement,1123,1379,1303,1582
img_18.jpg,2336,4160,Out-of-stock,671,2247,831,2406
img_19.jpg,3024,3024,Misplacement,1258,662,1578,945
img_19.jpg,3024,3024,Out-of-stock,2161,1370,2561,1772
img_2.jpg,2448,3264,Out-of-stock,908,1300,1032,1628
img_20.jpg,2448,3264,Misplacement,945,1077,1103,1299
img_21.jpg,2448,3264,Misplacement,1026,2493,1099,2906
img_21.jpg,2448,3264,Out-of-stock,1170,2170,1288,2381
img_22.jpg,2336,4160,Misplacement,1129,1624,1527,1910
img_23.jpg,2322,4128,Out-of-stock,1401,2680,1532,3006
img_25.jpg,1920,2560,Misplacement,554,1299,680,1466
img_25.jpg,1920,2560,Out-of-stock,404,1303,553,1469
img_27.jpg,2336,4160,Out-of-stock,1089,1383,1282,1769
img_27.jpg,2336,4160,Misplacement,1001,3283,1296,3676
img_28.jpg,2448,3264,Misplacement,1200,1845,1381,2130
img_3.jpg,2448,3264,Out-of-stock,1305,2438,1556,2673
img_30.jpg,2448,3264,Out-of-stock,1224,1360,1335,1506
img_31.jpg,2448,3264,Misplacement,899,1637,1009,1890
img_31.jpg,2448,3264,Out-of-stock,1232,1947,1369,2127
img_32.jpg,2336,4160,Out-of-stock,1751,1450,1918,1633
img_33.jpg,2448,3264,Misplacement,774,1436,887,1620
img_34.jpg,3264,2448,Misplacement,1609,1437,1711,1634
img_34.jpg,3264,2448,Out-of-stock,1082,815,1288,1047
img_35.jpg,2340,4160,Out-of-stock,489,2829,624,3205
img_36.jpg,2448,3264,Out-of-stock,1060,2631,1198,2911
img_37.jpg,2448,3264,Out-of-stock,922,1682,1075,1967
img_39.jpg,1920,2560,Misplacement,804,884,961,1077
img_39.jpg,1920,2560,Out-of-stock,337,1430,488,1623
img_4.jpg,2368,4224,Out-of-stock,860,2667,1326,2986
img_40.jpg,2448,3264,Out-of-stock,1501,921,1674,1152
img_40.jpg,2448,3264,Misplacement,1398,1273,1574,1549
img_400.jpg,2448,3264,Out-of-stock,1895,1597,2115,1889
img_400.jpg,2448,3264,Misplacement,706,2272,868,2439
img_401.jpg,1920,2560,Out-of-stock,1176,34,1359,328
img_402.jpg,2448,3264,Misplacement,791,628,1004,964
img_402.jpg,2448,3264,Out-of-stock,1051,2048,1149,2287
img_403.jpg,1920,2560,Out-of-stock,473,1518,554,1725
img_404.jpg,2448,3264,Misplacement,932,2584,1039,2931
img_404.jpg,2448,3264,Out-of-stock,967,2329,1214,2533
img_405.jpg,2448,3264,Misplacement,1030,1519,1152,1757
img_405.jpg,2448,3264,Out-of-stock,1362,2134,1555,2324
img_406.jpg,3120,4160,Misplacement,1497,3632,1983,3899
img_407.jpg,2340,4160,Out-of-stock,986,911,1219,1187
img_408.jpg,2448,3264,Out-of-stock,42,324,771,593
img_408.jpg,2448,3264,Misplacement,1941,2621,2057,2945
img_409.jpg,2340,4160,Misplacement,637,2623,1059,2960
img_409.jpg,2340,4160,Out-of-stock,1481,1306,1650,1689
img_41.jpg,3264,2448,Misplacement,1231,1256,1321,1465
img_41.jpg,3264,2448,Out-of-stock,1414,2127,1595,2408
img_410.jpg,3024,3024,Misplacement,1740,2038,1988,2321
img_410.jpg,3024,3024,Out-of-stock,709,489,838,849
img_411.jpg,1920,2560,Misplacement,366,2011,500,2298
img_411.jpg,1920,2560,Out-of-stock,1423,121,1551,467
img_412.jpg,1920,2560,Out-of-stock,1618,747,1702,1068
img_412.jpg,1920,2560,Misplacement,55,1464,254,1739
img_413.jpg,2448,3264,Misplacement,854,2214,988,2492
img_413.jpg,2448,3264,Out-of-stock,1111,1091,1236,1400
img_415.jpg,1920,2560,Misplacement,1553,641,1691,832
img_416.jpg,2592,4608,Out-of-stock,1435,3778,1768,4170
img_416.jpg,2592,4608,Misplacement,244,2976,399,3296
img_417.jpg,2340,4160,Out-of-stock,996,2800,1265,3048
img_417.jpg,2340,4160,Misplacement,559,2537,720,2718
img_418.jpg,3024,4032,Out-of-stock,156,2524,335,2774
img_418.jpg,3024,4032,Misplacement,2246,2220,2502,2412
img_42.jpg,1932,2576,Out-of-stock,459,665,692,815
img_42.jpg,1932,2576,Misplacement,845,1277,964,1513
img_421.jpg,2448,3264,Out-of-stock,721,2274,921,2508
img_421.jpg,2448,3264,Misplacement,525,1959,705,2202
img_422.jpg,2448,3264,Misplacement,1374,1618,1550,1961
img_423.jpg,1920,2560,Misplacement,1270,846,1477,1171
img_423.jpg,1920,2560,Out-of-stock,1490,70,1597,312
img_424.jpg,1920,2560,Out-of-stock,213,500,321,761
img_428.jpg,1920,2560,Out-of-stock,515,110,860,347
img_429.jpg,1920,2560,Misplacement,426,2033,546,2254
img_43.jpg,2322,4128,Out-of-stock,1120,1641,1318,1832
img_430.jpg,2448,3264,Out-of-stock,1639,1769,2005,2032
img_430.jpg,2448,3264,Misplacement,1218,2351,1382,2554
img_431.jpg,2592,4608,Misplacement,1193,3141,1443,3450
img_431.jpg,2592,4608,Out-of-stock,1615,851,1825,1168
img_432.jpg,2448,3264,Misplacement,1188,2114,1464,2378
img_432.jpg,2448,3264,Out-of-stock,1908,2243,2080,2509
img_433.jpg,1920,2560,Misplacement,1464,1655,1619,1864
img_434.jpg,2448,3264,Misplacement,880,2800,979,3234
img_436.jpg,2448,3264,Out-of-stock,956,2179,1166,2436
img_436.jpg,2448,3264,Misplacement,533,2188,734,2450
img_437.jpg,2340,4160,Out-of-stock,1793,2953,2161,3235
img_437.jpg,2340,4160,Misplacement,812,2971,944,3249
img_438.jpg,1920,2560,Misplacement,1530,451,1676,666
img_438.jpg,1920,2560,Out-of-stock,565,1140,644,1360
img_439.jpg,2448,3264,Misplacement,202,1723,377,2135
img_44.jpg,2336,4160,Misplacement,1267,1767,1423,2156
img_44.jpg,2336,4160,Out-of-stock,1042,2262,1223,2623
img_440.jpg,2448,3264,Out-of-stock,284,2367,766,2642
img_440.jpg,2448,3264,Misplacement,1700,1653,1830,2011
img_441.jpg,2448,3264,Out-of-stock,1688,2019,2089,2277
img_441.jpg,2448,3264,Misplacement,1821,2541,1912,2816
img_442.jpg,1920,2560,Out-of-stock,1537,1968,1624,2122
img_443.jpg,2268,4032,Out-of-stock,1661,1693,1841,1871
img_443.jpg,2268,4032,Misplacement,865,1966,1182,2330
img_444.jpg,2448,3264,Misplacement,1585,1572,1798,1877
img_444.jpg,2448,3264,Out-of-stock,1929,2673,2091,2982
img_445.jpg,3264,2448,Out-of-stock,2600,2104,2893,2317
img_445.jpg,3264,2448,Misplacement,1519,2139,1676,2371
img_446.jpg,2448,3264,Out-of-stock,670,1898,846,2134
